2020-11-14 11:00:34,183 - INFO - Inizio ricezione/elaborazione dati
2020-11-14 11:00:34,184 - ERROR - 4.1, generic error - I try the connection again - n.0
2020-11-14 11:00:34,184 - ERROR - 4.1, generic error - I try the connection again - n.1
2020-11-14 11:00:34,185 - ERROR - 4.1, generic error - I try the connection again - n.2
2020-11-14 11:00:34,185 - ERROR - 4.1, generic error - I try the connection again - n.3
2020-11-14 11:00:34,185 - ERROR - 4.1, generic error - I try the connection again - n.4
2020-11-14 11:00:34,186 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,186 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,186 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,189 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,190 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,190 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,190 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,191 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,191 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,192 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,192 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,192 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,193 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,193 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,193 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,194 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,194 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,194 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,194 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,195 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,195 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,195 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,196 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,196 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,196 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,197 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,206 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,206 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,207 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,207 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,208 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,208 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,209 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,209 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,210 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,210 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,211 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,212 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,212 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,213 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,213 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,213 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,214 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,214 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,215 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,222 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,223 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,224 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,224 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,225 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,226 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,226 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,227 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,227 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,227 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,227 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,228 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,228 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,229 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,229 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,229 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,230 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,230 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,238 - ERROR - 4.1, generic error - database connection failed
2020-11-14 11:00:34,239 - ERROR - 4.1, generic error - database connection failed
